pitch_type,game_date,release_speed,release_pos_x,release_pos_z,pitcher_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,attack_zone,swing,batter_name
FF,2022-10-05,93.8,2.39,5.44,"Hughes, Brandon",605244,676714,field_out,hit_into_play,,,,,9,Aramis Garcia flies out to center fielder Christopher Morel.,R,R,L,CIN,CHC,X,8,fly_ball,2,2,2022,1,1.24,0.53,2.14,,,,2,9,Bot,147.64,55.62,,,664731,,,-7.010134361,-136.3306142,-5.521056942,14.04221934,31.03545055,-15.67880987,3.52,1.59,359,97.5,33,93.7,2364,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.11,0.251,0.492,0,1,0,0,5,88,5,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,133,0,-0.083,heart,0,"garcia, aramis"
FF,2022-10-05,93.3,2.3,5.51,"Hughes, Brandon",605244,676714,,ball,,,,,11,Aramis Garcia flies out to center fielder Christopher Morel.,R,R,L,CIN,CHC,B,,,1,2,2022,0.93,1.37,-1.09,2.49,,,,2,9,Bot,,,,,664731,,,-10.79103049,-135.4159646,-4.99689079,13.81238845,29.52169946,-14.35959817,3.33,1.46,,,,93.4,2332,6.5,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.02,,,,,,,,88,4,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,132,0,0.014,shadow,0,"garcia, aramis"
SL,2022-10-05,84.3,2.45,5.21,"Hughes, Brandon",605244,676714,,ball,,,,,13,Aramis Garcia flies out to center fielder Christopher Morel.,R,R,L,CIN,CHC,B,,,0,2,2022,-0.18,0.36,-0.76,-0.1,,,,2,9,Bot,,,,,664731,,,-7.136195725,-122.5468525,-6.718318847,-0.4416085029,23.11022441,-27.46091523,3.36,1.54,,,,84.7,2288,6.5,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.02,,,,,,,,88,3,Slider,2,15,2,15,15,2,2,15,Standard,Standard,216,0,0.011,waste,0,"garcia, aramis"
FF,2022-10-05,93.8,2.32,5.48,"Hughes, Brandon",605244,676714,,called_strike,,,,,4,Aramis Garcia flies out to center fielder Christopher Morel.,R,R,L,CIN,CHC,S,,,0,1,2022,1.11,1.24,-0.31,2.76,,,,2,9,Bot,,,,,664731,,,-9.275322457,-136.2196363,-4.004773264,15.86170368,30.59375389,-16.04319708,3.39,1.54,,,,94,2295,6.6,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,53.94,,,,,,,,88,2,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,133,0,-0.023,heart,0,"garcia, aramis"
FF,2022-10-05,94.1,2.34,5.54,"Hughes, Brandon",605244,676714,,swinging_strike,,,,,5,Aramis Garcia flies out to center fielder Christopher Morel.,R,R,L,CIN,CHC,S,,,0,0,2022,0.93,1.3,-0.01,2.9,,,,2,9,Bot,,,,,664731,,,-8.163586715,-136.7744714,-3.999852994,13.50357117,31.13941318,-15.20701777,3.52,1.59,,,,94.1,2328,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.08,,,,,,,,88,1,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,133,0,-0.017,heart,0,"garcia, aramis"
FF,2022-10-05,93.8,2.33,5.5,"Hughes, Brandon",608703,676714,field_out,hit_into_play,,,,,12,Matt Reynolds grounds out to first baseman Alfonso Rivas.,R,R,L,CIN,CHC,X,3,ground_ball,0,1,2022,1.11,1,0.11,3.32,,,,1,9,Bot,153.39,165.76,,,664731,,,-8.187319713,-136.3998769,-2.08724644,15.64816639,31.13918834,-19.43883761,3.02,1.45,48,74.6,1,93.7,2211,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.12,0.103,0.093,0,1,0,0,2,87,2,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,126,0,-0.132,shadow,0,"reynolds, matt"
FF,2022-10-05,94.5,2.25,5.47,"Hughes, Brandon",608703,676714,,called_strike,,,,,7,Matt Reynolds grounds out to first baseman Alfonso Rivas.,R,R,L,CIN,CHC,S,,,0,0,2022,0.93,1.46,-0.74,1.46,,,,1,9,Bot,,,,,664731,,,-9.871491798,-137.0546239,-7.959618757,14.05384977,33.10884774,-12.06684941,2.97,1.51,,,,94.1,2326,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.06,,,,,,,,87,1,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,124,0,-0.024,shadow,0,"reynolds, matt"
FF,2022-10-05,92.8,2.48,5.4,"Hughes, Brandon",641584,676714,field_out,hit_into_play,,,,,14,Jake Fraley pops out to third baseman David Bote in foul territory.,R,L,L,CIN,CHC,X,5,popup,3,2,2022,1.08,0.97,0.99,2.2,,,,0,9,Bot,86.74,187.11,,,664731,,,-6.181549291,-135.0224201,-4.522636417,14.57434279,30.32901332,-19.49415959,3.28,1.59,103,62.1,68,92.8,2134,6.4,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.14,0,0,0,1,0,0,3,86,6,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,130,0,-0.299,shadow,0,"fraley, jake"
FF,2022-10-05,94.7,2.32,5.55,"Hughes, Brandon",641584,676714,,ball,,,,,11,Jake Fraley pops out to third baseman David Bote in foul territory.,R,L,L,CIN,CHC,B,,,2,2,2022,1.04,1.29,-1.51,2.83,,,,0,9,Bot,,,,,664731,,,-12.30058384,-137.3408264,-4.259105055,15.9531336,32.22608058,-15.07270367,3.36,1.56,,,,94.4,2341,6.5,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.05,,,,,,,,86,5,4-Seam Fastball,2,15,2,15,15,2,2,15,Standard,Standard,134,0,0.103,chase,0,"fraley, jake"
SI,2022-10-05,93.4,2.36,5.41,"Hughes, Brandon",641584,676714,,foul,,,,,12,Jake Fraley pops out to third baseman David Bote in foul territory.,R,L,L,CIN,CHC,S,,,2,1,2022,1.42,0.82,1.39,3.58,,,,0,9,Bot,,,,,664731,,,-5.642659461,-135.8532427,-0.7294075267,18.82234197,31.15029368,-22.14395297,3.28,1.59,,,,93.5,2220,6.5,663131,676714,664731,663845,606019,623520,656716,621550,666624,676369,54.04,,,,,,,,86,4,Sinker,2,15,2,15,15,2,2,15,Standard,Standard,132,0,-0.066,chase,0,"fraley, jake"
